artist,unique_songs,total_streams,songs_rank_1,number_albums,number_countries,avg_danceability,avg_speechiness,avg_acousticness,avg_valence
Daft Punk,19,2.039945326E9,1,6,68,0.7265657497888813,0.19865992580528333,0.288816980335383,0.5569944203160812
Maria Becerra,31,2.037319972E9,5,25,28,0.7547305613808694,0.0848317067268914,0.15599057105984845,0.6325139135344412
Gusttavo Lima,74,2.02483516E9,2,44,4,0.7383538323532344,0.060173587162364185,0.3247537725505834,0.7531268812917371
Topic,13,2.010565938E9,1,14,61,0.7485174765558362,0.17729545780051234,0.20717199624893434,0.6193987723785129
Pedro Capó,16,1.995813095E9,2,19,52,0.7791082620133866,0.05432575177328583,0.29623748043557774,0.8214646508375243
Chencho Corleone,20,1.983799325E9,1,21,20,0.7507696272883457,0.17447244224772535,0.3111694427356238,0.7289177997921139
Major Lazer,42,1.968228352E9,2,42,66,0.716325035380367,0.08318080876041109,0.07057349604435875,0.5328333062663811
A7S,7,1.95632663E9,1,7,61,0.749956389633598,0.18345654334227093,0.21307523503127787,0.6155266845397647
Lil Tecca,33,1.954550603E9,1,18,57,0.7321712038380022,0.2793534084569912,0.09277945107664863,0.30779989958719145
Romeo Santos,49,1.948176398E9,0,20,22,0.7403381188418076,0.10745673698845412,0.29065725382336866,0.6984371033065343
Arizona Zervas,3,1.940842431E9,1,3,67,0.6286455338433795,0.14592685541640318,0.05451605672238163,0.4630437113201096
OneRepublic,37,1.911440298E9,0,34,68,0.6562422826592268,0.07570558577405873,0.17723650181311,0.5317383519293354
Hailee Steinfeld,15,1.906252231E9,0,14,59,0.670158906855178,0.08138115435659925,0.14066423498821773,0.5756526908805292
Jorge & Mateus,71,1.894897852E9,2,35,4,0.6227602441957263,0.0870228286004995,0.3675782443807233,0.6870222921098884
Grey,7,1.862822507E9,1,7,61,0.716868422714924,0.0752754090076431,0.2508246162592377,0.45969796601604485
Rita Ora,19,1.860231623E9,0,20,55,0.6631016356426909,0.09782519550611289,0.16973215111796472,0.5763007214450918
Trevor Daniel,4,1.8546401E9,1,4,68,0.7791365827081849,0.03677631281170133,0.12242592514982602,0.23775944009052394
Internet Money,12,1.849271613E9,1,9,63,0.7961763956156036,0.0813779250573544,0.24217358654091253,0.4568959979607441
Bonez MC,149,1.831266671E9,20,87,6,0.7396209730836405,0.2076918438008071,0.22194735653640033,0.49158701451195247
Powfu,2,1.828003516E9,1,2,69,0.7259996842580057,0.1349951465944971,0.7309727559765421,0.34799733874605315
beabadoobee,1,1.828002427E9,1,1,69,0.7259999999999994,0.135,0.7309999999999972,0.3479999999999999
Funk Wav,10,1.815959533E9,1,1,56,0.816052747859703,0.06055670493549523,0.27221554424586686,0.7128463723517602
Lizzo,11,1.815459938E9,0,11,52,0.7102367395156535,0.09484945658594197,0.1720921996455995,0.4887204961606629
Diplo,64,1.807102462E9,2,61,67,0.6519131203263079,0.06830852481305248,0.056271605438477146,0.4974990346702928
YNW Melly,15,1.803788323E9,0,9,44,0.7623539088077945,0.11369739678990648,0.24064642657510216,0.49875485107402234
Goodboys,6,1.802365182E9,1,7,60,0.6433728161740481,0.036368182983554834,0.08307586785334951,0.5739977658132799
blackbear,30,1.795146826E9,0,27,56,0.7647562916446957,0.06957201476439302,0.10580489909400329,0.6087517376923435
Ninho,133,1.784488959E9,14,69,6,0.7297224156305508,0.2135094103019538,0.45603496269982235,0.5081045825932505
Gucci Mane,56,1.7741406E9,0,42,59,0.7655083767890833,0.09547173527127481,0.06039546100077671,0.3809484633307446
Jack Harlow,17,1.748261357E9,0,9,47,0.8964944775311307,0.22845210611802963,0.051569052517595984,0.8177020573903617
Regard,4,1.744008642E9,0,4,64,0.8610240410686516,0.07626250677849655,0.14719843461913878,0.8421940638443988
G-Eazy,54,1.714974976E9,2,41,62,0.6774300884206952,0.1841551592841725,0.038343895841265796,0.3829265981300512
Katy Perry,46,1.712563092E9,0,25,69,0.6991526610216143,0.08590851037813735,0.13218790133891736,0.45480851343502615
Rafa Pabön,13,1.706553924E9,1,14,23,0.7194055231014332,0.2225858821030268,0.42077376526818805,0.6614911311736581
Mau y Ricky,38,1.704571619E9,2,41,21,0.6926301298804933,0.1531878059972468,0.11268759152484897,0.7446424196476668
Troye Sivan,28,1.697639505E9,1,26,67,0.6160012219033267,0.11404040805887894,0.13106995851211956,0.3869786365832177
Matheus & Kauan,63,1.689208514E9,1,34,4,0.5922449365890589,0.10044509748249102,0.33068744084800306,0.5790364376301345
Yandel,69,1.684909588E9,3,51,25,0.7663836857000165,0.12122928583319459,0.153282614116864,0.6543678874646229
Lil Pump,38,1.674214041E9,3,22,65,0.8550194444444461,0.09583760582010568,0.1270727724867725,0.5348109303350974
Bizarrap,60,1.665482749E9,7,61,20,0.7311576637518561,0.17171602045867024,0.3601467117637348,0.614537518561294
Dean Lewis,9,1.651682974E9,1,8,54,0.5552090773032601,0.03507609202603453,0.6783493404336791,0.4814603042010369
Glass Animals,14,1.651547326E9,1,7,61,0.7604215566275455,0.09401424868601069,0.4378871193030446,0.5321069911440726
Michael Bublé,32,1.650805761E9,1,15,64,0.49623805763916207,0.040451717331227766,0.7572471095820871,0.48010143815915585
Juhn,26,1.645463465E9,2,26,21,0.6970516694172901,0.20846657356861775,0.3314938555287544,0.515429520545048
Mariah Carey,23,1.639708278E9,1,17,69,0.38123068423289347,0.039784700382490525,0.15163077773055678,0.4079245218869532
Liam Payne,13,1.625333766E9,1,13,63,0.7144010094140406,0.08870264881698123,0.18322308766152387,0.4892434405984886
Ellie Goulding,23,1.624610404E9,0,20,65,0.6094769010696044,0.08023588543190618,0.15254795994668224,0.5972463018953775
Panic! At The Disco,18,1.624360479E9,1,9,54,0.5745352289253296,0.06340852013439663,0.18233770823930567,0.6695206860237723
Apache 207,42,1.621449107E9,12,27,6,0.8127106561254149,0.17134908439759453,0.18580447327522126,0.4942107574836139
KHEA,55,1.615130191E9,4,56,22,0.7316016834296305,0.11790993651472988,0.42085270941817005,0.5581134412820706
Anderson .Paak,30,1.610784778E9,2,15,67,0.6016080473372799,0.03580683431952672,0.1569830390532546,0.7218059171597612
Offset,39,1.602708725E9,0,17,58,0.8673296113377698,0.19434326819841113,0.19786607615775523,0.35573663302555236
Willy William,5,1.598453412E9,1,5,60,0.5765039472369363,0.09270923853302677,0.017089237533726386,0.3219711202158485
Silk Sonic,9,1.590289797E9,2,4,67,0.5984734142072563,0.03411912607882198,0.15852702999577548,0.7229072364053329
Duki,132,1.589897817E9,6,101,25,0.7291716874018603,0.08831660103877283,0.26932113636912675,0.46980569634013863
Brytiago,50,1.589116447E9,1,50,23,0.7941941787234067,0.17878185361702081,0.44004995063829794,0.5904983659574485
Metro Boomin,57,1.588742363E9,2,12,49,0.803808005562177,0.22884212355979336,0.24832985935637653,0.36616855383392904
Dímelo Flow,21,1.585386959E9,3,21,19,0.7262476585336769,0.19387402016345548,0.2645658444192563,0.5348908011692414
Maiara & Maraisa,58,1.58517233E9,1,34,4,0.6842087764331992,0.08799053905390537,0.4193770443711038,0.641378682312676
RAF Camora,145,1.575953052E9,19,72,5,0.731446647622249,0.15246759368173426,0.3041166061726322,0.5485564835041731
